,Precio,Currency,Precio_EUR,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Country,City,Number of views last 7 days
0,3337.0,CHF,3470.48,Motor Yacht,Rigiflex power boats,new boat from stock,2017,4.0,1.9,unknown,Switzerland , Lake Geneva ,226
1,3490.0,EUR,3490.0,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,Germany , Bnningstedt,75
2,3770.0,CHF,3920.8,Sport Boat,Marine power boats,new boat from stock,0,3.69,1.42,Aluminium,Switzerland , Lake of Zurich ,124
3,25900.0,DKK,3367.0,Sport Boat,Pioner power boats,new boat from stock,2020,3.0,1.0,unknown,Denmark , Svendborg,64
4,3399.0,EUR,3399.0,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany , Bayern ,58
5,3650.0,CHF,3796.0,Sport Boat,Linder power boats,new boat from stock,0,4.03,1.56,Aluminium,Switzerland , Lake Constance ,132
6,3600.0,CHF,3744.0,Catamaran,unknown,"Used boat,Unleaded",1999,6.2,2.38,Aluminium,Switzerland , Neuenburgersee ,474
8,3333.0,EUR,3333.0,Fishing Boat,Crescent power boats,new boat from stock,2019,3.64,1.37,unknown,Germany , Bayern ,45
9,3300.0,EUR,3300.0,Pontoon Boat,Whaly power boats,new boat from stock,2018,4.35,1.73,unknown,Italy , Dormelletto ,180
10,3500.0,CHF,3640.0,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland , Seengen,239
11,3480.0,CHF,3619.2000000000003,Fishing Boat,Marine power boats,new boat from stock,0,4.13,1.41,Aluminium,Switzerland , Lake of Zurich ,145
12,3500.0,EUR,3500.0,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,Italy , Lake Garda ,69
13,4600.0,CHF,4784.0,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,Switzerland , Zugersee ,113
14,4500.0,CHF,4680.0,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland , Vierwaldst¤ttersee ,413
15,4400.0,CHF,4576.0,Deck Boat,Buster power boats,"new boat from stock,Unleaded",0,3.88,1.49,Aluminium,Switzerland , Safenwil,263
16,4380.0,CHF,4555.2,Sport Boat,Linder power boats,new boat from stock,0,4.31,1.64,Aluminium,Switzerland , Lake Constance ,462
17,30000.0,DKK,3900.0,Sport Boat,unknown,Used boat,1985,4.0,1.0,unknown,Denmark , Svendborg,124
18,4000.0,EUR,4000.0,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,France ," MARTGUES, MARTIGUES",265
19,4000.0,EUR,4000.0,Cabin Boat,unknown,"Used boat,Unleaded",2011,6.37,2.31,GRP,Germany , Bayern ,330
20,3999.0,EUR,3999.0,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany , Bayern ,69
21,4267.0,CHF,4437.68,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",0,3.78,1.71,GRP,Switzerland , Luganersee ,198
22,3930.0,EUR,3930.0,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany , Nordrhein-Westfalen ,90
23,3900.0,EUR,3900.0,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany ," BOOTSSERVICE ENK IN TREIS KARDEN, BOOTSSERVICE ENK",98
24,3900.0,EUR,3900.0,Cabin Boat,unknown,Used boat,1985,6.53,2.47,unknown,France ," Marseille, France",383
25,4200.0,CHF,4368.0,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland , Diessenhofen,160
26,4200.0,CHF,4368.0,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",0,4.0,1.5,GRP,Switzerland , Lake of Zurich ,295
27,4030.0,CHF,4191.2,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,Switzerland , Vierwaldst¤ttersee ,130
28,4000.0,CHF,4160.0,Fishing Boat,unknown,"Used boat,Unleaded",1994,5.6,1.58,GRP,Switzerland , Lake of Zurich ,641
29,3975.0,CHF,4134.0,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland , Horgen,512
30,3950.0,CHF,4108.0,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland , Lake of Zurich ,202
31,3900.0,CHF,4056.0,Sport Boat,unknown,"Used boat,Unleaded",1972,5.05,1.9,GRP,Switzerland , Thunersee ,423
32,3890.0,CHF,4045.6000000000004,Sport Boat,Pioner power boats,new boat on order,0,3.81,1.65,unknown,Switzerland , Safenwil,105
33,3850.0,CHF,4004.0,Sport Boat,Linder power boats,new boat from stock,0,3.55,1.46,Aluminium,Switzerland , Lake Constance ,120
34,3800.0,CHF,3952.0,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland , Luganersee ,255
35,3800.0,CHF,3952.0,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland , Walensee ,1804
36,3800.0,CHF,3952.0,Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland , Sihlsee ,849
37,3790.0,CHF,3941.6,Sport Boat,Pioner power boats,new boat on order,0,3.93,1.55,unknown,Switzerland , Safenwil,144
38,3500.0,EUR,3500.0,Center console boat,Ibis power boats,"Used boat,Unleaded",1983,4.4,1.5,GRP,Germany , Verkaufshafen Brandenburg-Plaue,133
39,3500.0,EUR,3500.0,Sport Boat,Rio power boats,"Used boat,Unleaded",1991,4.0,1.62,unknown,France ," DIENVILLE, DIENVILLE",98
40,3500.0,EUR,3500.0,Cabin Boat,Jouandoudet power boats,"Used boat,Unleaded",1992,4.36,1.74,unknown,France,,393
41,5170.0,GBP,5893.799999999999,Working Boat,Buster power boats,new boat from stock,2019,3.88,1.49,unknown,United Kingdom ," Burton Waters, Burton Waters",54
43,5500.0,EUR,5500.0,Sport Boat,Corsiva power boats,new boat from stock,2018,5.2,2.2,GRP,Germany , Berlin ,186
44,5500.0,EUR,5500.0,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain ," Cabo de Palos, Espagne",118
45,5500.0,EUR,5500.0,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy , emilia,74
46,5900.0,CHF,6136.0,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,Switzerland , Faoug ,543
47,5450.0,EUR,5450.0,Sport Boat,Allegra power boats,new boat from stock,2018,4.3,1.75,unknown,Italy , Lake Garda ,57
48,5850.0,CHF,6084.0,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,Switzerland , Lake of Zurich ,219
49,5399.0,EUR,5399.0,Fishing Boat,Linder power boats,new boat from stock,2018,4.01,1.64,Aluminium,Germany , Bayern ,67
51,5700.0,CHF,5928.0,Sport Boat,unknown,"Used boat,Unleaded",2000,4.15,1.67,GRP,Switzerland , Bremgarten b Bern ,389
52,5250.0,EUR,5250.0,Sport Boat,unknown,"Used boat,Unleaded",1993,4.5,1.9,GRP,Germany , Eutin,178
53,5200.0,EUR,5200.0,Fishing Boat,Viking power boats,new boat from stock,2020,4.2,1.85,Aluminium,Germany , Erftstadt,141
54,5500.0,CHF,5720.0,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,Switzerland , Neuenburgersee ,278
55,5500.0,CHF,5720.0,Runabout,Kimple power boats,new boat from stock,2020,4.0,1.65,Aluminium,Switzerland , Zugersee ,99
56,7290.0,CHF,7581.6,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland , Lake Constance ,195
57,7200.0,CHF,7488.0,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland , Lake of Zurich ,1201
58,49500.0,DKK,6435.0,Fishing Boat,Uttern power boats,Used boat,2007,5.0,2.0,unknown,Denmark , Svendborg,204
59,6590.0,EUR,6590.0,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany , Nordrhein-Westfalen ,277
60,6500.0,EUR,6500.0,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy , Venezia,85
61,6500.0,EUR,6500.0,Deck Boat,Corsiva power boats,new boat from stock,2018,5.7,2.2,GRP,Germany , Berlin ,122
62,6500.0,EUR,6500.0,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5.0,2.15,GRP,Italy , 41100,183
63,6500.0,EUR,6500.0,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8.0,2.1,GRP,Germany , Berlin ,289
64,6500.0,EUR,6500.0,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria , Werfenweng,324
65,6500.0,EUR,6500.0,Classic,unknown,"Used boat,Unleaded",1975,6.67,2.04,Wood,Spain , Costa del Sol ,184
66,6490.0,EUR,6490.0,Cabin Boat,Hille power boats,Unleaded,1994,4.75,1.86,GRP,Germany , Verkaufshafen Brandenburg-Plaue,126
67,7000.0,CHF,7280.0,Sport Boat,Bienchen  power boats,Used boat,2018,3.2,1.5,GRP,Switzerland , Murtensee ,238
68,7000.0,CHF,7280.0,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland , Lake Geneva ,866
69,7000.0,CHF,7280.0,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland , Neuenburgersee ,574
70,7800.0,EUR,7800.0,Sport Boat,Pollini power boats,new boat from stock,2019,5.2,2.06,unknown,Italy , Lake Garda ,119
71,8300.0,CHF,8632.0,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland , Lake Constance ,205
72,7000.0,GBP,7979.999999999999,"Cabin Boat,Classic",unknown,"Used boat,Unleaded",1941,8.23,2.65,Wood,United Kingdom ," TROON, Royaume Uni",154
73,8200.0,CHF,8528.0,Pilothouse,Lambro power boats,Used boat,0,6.16,2.48,GRP,Switzerland , Neuenburgersee ,463
74,7640.0,EUR,7640.0,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany , BUDENHEIM/RHEIN,200
75,8155.0,CHF,8481.2,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland , Horgen,462
76,7500.0,EUR,7500.0,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany , Landshut,201
77,7500.0,EUR,7500.0,Cabin Boat,unknown,"Used boat,Diesel",1971,8.5,2.2,Steel,Netherlands , Sneek,264
78,7500.0,EUR,7500.0,Sport Boat,Sessa power boats,"Used boat,Unleaded",1997,5.8,2.2,unknown,Italy , Lombardia - Trentino Alto Adige ,336
79,7500.0,EUR,7500.0,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,,137
80,7500.0,EUR,7500.0,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France ," Saint-Quay-Portrieux, France",208
81,7500.0,EUR,7500.0,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France , C´te d'Azur ,189
82,7500.0,EUR,7500.0,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France ," Saint Quay Portrieux, France",131
83,7500.0,EUR,7500.0,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany , Baden-W¼rttemberg ,490
84,7500.0,EUR,7500.0,Catamaran,unknown,Used boat,2010,4.4,3.0,unknown,Netherlands,,145
85,8790.0,EUR,8790.0,Sport Boat,Fiberline power boats,new boat from stock,2019,4.4,1.65,unknown,Germany , Bayern ,96
86,9400.0,CHF,9776.0,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland , Lake Constance ,280
87,8600.0,EUR,8600.0,Sport Boat,Mingolla power boats,Used boat,2019,5.0,2.1,unknown,Italy , Lake Garda ,146
88,8600.0,EUR,8600.0,Sport Boat,Allegra power boats,new boat from stock,2018,5.3,2.2,unknown,Italy , Lake Garda ,166
89,9265.0,CHF,9635.6,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland , Lake of Zurich ,873
90,9200.0,CHF,9568.0,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland , 8881 Tscherlach,258
91,8500.0,EUR,8500.0,Deck Boat,Salmeri Boote power boats,new boat from stock,2018,5.53,2.18,unknown,Italy , Lago,221
92,8500.0,EUR,8500.0,Runabout,unknown,"Used boat,Unleaded",1975,4.0,1.62,GRP,Slovenia , Ljubljana,110
93,8500.0,EUR,8500.0,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2001,5.0,1.98,unknown,France ," HENDAYE, HENDAYE",96
94,8500.0,EUR,8500.0,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy , Lombardia - Trentino Alto Adige ,165
95,8500.0,EUR,8500.0,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France ," Chalon-sur-Sa´ne, France",78
96,8500.0,EUR,8500.0,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France , 29200 BREST,116
97,8500.0,EUR,8500.0,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany , Kelheim,250
98,8500.0,EUR,8500.0,Center console boat,Janmor power boats,"Used boat,Unleaded",2005,5.3,2.33,unknown,France ," GRANVILLE, France",173
99,8500.0,EUR,8500.0,"Deck Boat,Pilothouse,Sport Boat",unknown,"Used boat,Unleaded",1998,7.9,2.5,Aluminium,Germany , Mosel ,738
100,10500.0,CHF,10920.0,Sport Boat,unknown,"Used boat,Unleaded",2019,3.38,1.36,Wood,Switzerland , Sempachersee ,503
101,9750.0,EUR,9750.0,Trawler,Gouwerok power boats,Used boat,1980,8.5,3.0,Steel,Netherlands , Sneek,183
102,10500.0,CHF,10920.0,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland , Lago Maggiore ,465
104,10450.0,CHF,10868.0,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,Switzerland , Lake of Zurich ,162
105,9650.0,EUR,9650.0,Sport Boat,unknown,"Used boat,Unleaded",1994,5.5,2.2,GRP,Germany , BUDENHEIM/RHEIN,115
106,10400.0,CHF,10816.0,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6.0,2.3,GRP,Switzerland , Diessenhofen ,418
107,9599.0,EUR,9599.0,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany , Verkaufshafen Brandenburg-Plaue,185
108,9575.0,EUR,9575.0,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany , Grevenbroich,64
109,10350.0,CHF,10764.0,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland , Lake Constance ,168
110,9553.0,EUR,9553.0,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,Netherlands , Lemmer,91
111,9500.0,EUR,9500.0,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands , In verkoophaven,138
112,9500.0,EUR,9500.0,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy , Lombardia - Trentino Alto Adige ,184
113,9500.0,EUR,9500.0,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany , Brandenburg ,162
114,9500.0,EUR,9500.0,Cabin Boat,unknown,Used boat,1975,9.0,3.0,Steel,Netherlands , Winsum,303
115,9500.0,EUR,9500.0,Launch,Majoni power boats,Used boat,1998,3.99,1.74,unknown,Spain , Balearic Islands,96
116,11000.0,CHF,11440.0,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland , Luganersee ,256
117,11000.0,CHF,11440.0,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,Switzerland , Beringen,230
118,11000.0,CHF,11440.0,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,Switzerland , Rhein,182
119,10990.0,CHF,11429.6,Sport Boat,Buster power boats,new boat from stock,0,4.43,1.82,Aluminium,Switzerland , Safenwil,109
120,10115.0,EUR,10115.0,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany , Wesel,115
121,10900.0,CHF,11336.0,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland , Zugersee ,159
122,10900.0,CHF,11336.0,Sport Boat,Century power boats,"Used boat,Unleaded",1994,5.51,2.21,unknown,Switzerland , Bielersee ,1057
123,10000.0,EUR,10000.0,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy , Toscana ,585
124,10000.0,EUR,10000.0,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,,185
125,10000.0,EUR,10000.0,Sport Boat,Allegra power boats,new boat from stock,2018,5.9,2.38,unknown,Italy , Lake Garda ,155
126,10000.0,EUR,10000.0,Trawler,unknown,Used boat,1978,7.8,2.45,Steel,Netherlands , In verkoophaven,186
127,10000.0,EUR,10000.0,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,Italy , Lombardia - Trentino Alto Adige ,182
128,10000.0,EUR,10000.0,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany , Brandenburg ,900
129,10000.0,EUR,10000.0,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy , Lombardia - Trentino Alto Adige ,783
130,10000.0,EUR,10000.0,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France ," CAP D'AGDE, CAP D'AGDE",175
131,10000.0,EUR,10000.0,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France ," CAP D'AGDE, CAP D'AGDE",207
132,11000.0,EUR,11000.0,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy , Friuli-Venezia Giulia,284
133,11000.0,EUR,11000.0,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany , INFO DD-YACHTING,125
134,11000.0,EUR,11000.0,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy , Venezia,229
135,11000.0,EUR,11000.0,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France ," GRANVILLE, GRANVILLE",226
136,11000.0,EUR,11000.0,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France ," Dienville, Dienville",87
137,11000.0,EUR,11000.0,Sport Boat,Mery Nautic power boats,"Used boat,Unleaded",1999,5.2,2.15,unknown,France ," Granville, Granville",95
138,11000.0,EUR,11000.0,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,,175
139,11000.0,EUR,11000.0,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy , Lake Garda ,173
140,11000.0,EUR,11000.0,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,Spain , Baleares ,422
141,11000.0,EUR,11000.0,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany , Rhein ,243
142,11000.0,EUR,11000.0,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands , In verkoophaven,254
143,10999.0,EUR,10999.0,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany , Kieler Bucht mit Fehmarn ,150
144,10999.0,EUR,10999.0,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany , Nordrhein-Westfalen ,255
145,10999.0,EUR,10999.0,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany , Nordrhein-Westfalen ,179
146,10990.0,EUR,10990.0,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany , Verkaufshafen Brandenburg-Plaue,169
147,10990.0,EUR,10990.0,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany , Ostsee ,136
148,12000.0,EUR,12000.0,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France ," Mandelieu, France",141
149,12000.0,EUR,12000.0,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia , Belgrade,442
150,12000.0,EUR,12000.0,Cabin Boat,unknown,"Used boat,Unleaded",1973,7.0,1.9,Wood,Germany , Berlin ,241
151,12000.0,EUR,12000.0,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany , Berlin ,327
152,12000.0,EUR,12000.0,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy , Veneto ,188
153,12000.0,EUR,12000.0,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany , Mecklenburg-Vorpommern ,1101
154,12000.0,EUR,12000.0,Cabin Boat,unknown,"Used boat,Unleaded",1970,7.75,2.65,Steel,Netherlands , Friesland ,370
155,11990.0,EUR,11990.0,Sport Boat,unknown,new boat from stock,2019,4.6,1.8,Aluminium,Germany , Erftstadt,133
156,11990.0,EUR,11990.0,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5.0,4.96,PVC,France ," Chalon-sur-Sa´ne, France",141
157,12950.0,CHF,13468.0,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,Switzerland , Kesswil ,284
158,89000.0,DKK,11570.0,Sport Boat,Crescent power boats,new boat from stock,2019,4.0,1.0,unknown,Denmark , Svendborg,166
159,89000.0,DKK,11570.0,Launch,unknown,new boat from stock,2020,4.0,2.0,unknown,Denmark , Svendborg,134
160,12900.0,CHF,13416.0,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,Switzerland , Zugersee ,273
161,12900.0,CHF,13416.0,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland , Zugersee ,365
162,13888.0,CHF,14443.52,Runabout,Larson power boats,"Used boat,Unleaded",1994,5.8,2.47,unknown,Switzerland , Zugersee ,333
163,12800.0,EUR,12800.0,Sport Boat,unknown,"Used boat,Unleaded",2019,4.8,2.0,GRP,Germany,,73
164,12800.0,EUR,12800.0,Sport Boat,Four Winns power boats,Used boat,1994,6.4,2.36,unknown,Belgium , Brugge,235
165,12770.0,EUR,12770.0,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,Germany , Lake Constance ,180
166,94990.0,DKK,12348.7,Launch,unknown,new boat from stock,2020,4.0,1.0,unknown,Denmark , Svendborg,67
167,12750.0,EUR,12750.0,Deck Boat,unknown,new boat from stock,2020,5.7,2.25,unknown,Germany , DE,97
168,12680.0,EUR,12680.0,Fishing Boat,Gropp power boats,Display Model,0,5.5,1.65,Aluminium,Switzerland , Lake Constance ,159
169,13690.0,CHF,14237.6,Sport Boat,Orkney power boats,new boat from stock,0,4.24,1.8,GRP,Switzerland , Thunersee ,349
170,12500.0,EUR,12500.0,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.0,2.0,GRP,Italy , Friuli Venezia Giulia ,147
171,12500.0,EUR,12500.0,Trawler,unknown,"Used boat,Diesel",1973,8.5,3.1,Steel,Netherlands , In verkoophaven,177
172,12500.0,EUR,12500.0,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany , Baden-W¼rttemberg ,235
173,12500.0,EUR,12500.0,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy , Gardasee,452
174,12500.0,EUR,12500.0,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherlands , In verkoophaven,165
175,12500.0,EUR,12500.0,"Classic,Launch",unknown,Used boat,1965,6.12,2.22,Wood,Netherlands , Amsterdam (NL),160
176,12500.0,EUR,12500.0,"Classic,Launch",unknown,Used boat,1950,6.0,2.2,Wood,Netherlands ," Bezichtiging uitsluitend op afspraak, besichtigung",162
177,14800.0,CHF,15392.0,Bowrider,Ranieri International power boats,new boat from stock,0,5.1,2.1,GRP,Switzerland , Bielersee ,278
178,14800.0,CHF,15392.0,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland , Finstersee,436
179,13690.0,EUR,13690.0,Deck Boat,Jeanneau power boats,new boat from stock,2014,5.0,2.0,PVC,Slovak Republic ," Bratislava, Slovaquie",35
180,14700.0,CHF,15288.0,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,Switzerland , Vierwaldst¤ttersee ,212
181,13566.0,EUR,13566.0,Sport Boat,Eolo power boats,new boat from stock,2019,5.7,2.1,unknown,Germany , DE,214
182,14500.0,CHF,15080.0,Pilothouse,Draco power boats,"Used boat,Unleaded",1992,6.77,2.28,unknown,Switzerland , Luganersee ,760
183,13500.0,EUR,13500.0,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,Italy , Toscana ,121
184,13500.0,EUR,13500.0,Sport Boat,unknown,"Used boat,Unleaded",1997,6.4,2.54,GRP,Italy , Veneto ,222
185,13500.0,EUR,13500.0,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,France ," PLOUGERNEAU, France",110
186,13500.0,EUR,13500.0,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,Netherlands , In verkoophaven,83
187,13500.0,EUR,13500.0,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7.0,2.0,PVC,Spain , Torrevieja,264
188,13500.0,EUR,13500.0,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,Italy , Lombardia - Trentino Alto Adige ,109
189,13500.0,EUR,13500.0,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,Croatia (Hrvatska) , INFO DD-YACHTING,132
190,13500.0,EUR,13500.0,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2.0,PVC,France ," ANDERNOS, ANDERNOS",81
191,13500.0,EUR,13500.0,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,France ," PORNICHET, France",262
192,13500.0,EUR,13500.0,Launch,unknown,"Used boat,Unleaded",1963,6.0,2.4,Wood,Netherlands , Grou,214
193,14500.0,EUR,14500.0,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3.0,2.0,PVC,Portugal ," Portim£o, Portugal",186
194,15619.0,CHF,16243.76,Sport Boat,Buster power boats,new boat from stock,0,4.86,1.85,Aluminium,Switzerland , Safenwil,81
195,15600.0,CHF,16224.0,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,Switzerland , Lake Geneva ,292
